"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","CAD_5mon","CAD_7mon","CBB_5mon","CBB_7mon","redspider_5mon1_3 ","branch_number","CAD_3mon","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","shoot_weight_plot","root_weight_plot","frogskin1_5","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","root_weight_commercial","root_number_non_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","mites_3mon","mites_7mon","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM3594-70_28",4,28,5,1,"test"," (Operator: lizbethpino, Time: )","GM3594-70","test",NA,NA,NA,NA,NA,5,NA,NA,25.6125058823529,91,50.1111111111111,22.45,27.06,1,5,1,NA,5,3.05833333333333,NA,6,20,2,294.833333333333,248.166666666667,6,NA,NA,3,1,3,2,73,3001.66666666667,168.333333333333,0,19,2,1,1,3,6,95,50.1111111111111,12.8347112810457
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM3594-70_5",1,5,5,4,"test"," (Operator: lizbethpino, Time: )","GM3594-70","test",NA,NA,NA,NA,NA,4,NA,NA,24.4580781758957,103.666666666667,5.98148148148148,3.62,3.23,1,4,1,NA,1,0.776666666666667,NA,9,20,2,243,102,3,NA,NA,3,1,3,2,9,1076.66666666667,53.3333333333333,0,14,2,1,1,3,6,70,5.98148148148148,1.46295541681746
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM3650-51_23",3,23,7,2,"test"," (Operator: lizbethpino, Time: )","GM3650-51","test",NA,NA,NA,NA,NA,4,NA,NA,29.8375873273761,26.8333333333333,30.537037037037,8.68,16.49,1,3,1,NA,1,0.951666666666667,NA,6,20,2,205.5,154.166666666667,6,NA,NA,2,1,1,2,33,2228.33333333333,176.666666666667,0,20,1,1,1,2,6,100,30.537037037037,9.1115150931191
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM3650-51_26",4,26,7,1,"test"," (Operator: lizbethpino, Time: )","GM3650-51","test",NA,NA,NA,NA,NA,4,NA,NA,28.3838461538461,26,36.5925925925926,9.11,19.76,1,3,1,NA,3,1.92,NA,5,20,2,210.333333333333,134.333333333333,6,NA,NA,2,1,1,2,57,2660,190,0,20,1,1,1,2,6,100,36.5925925925926,10.3863851851852
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM3650-51_7",1,7,7,4,"test"," (Operator: lizbethpino, Time: )","GM3650-51","test",NA,NA,NA,NA,NA,4,NA,NA,33.3548333333333,50.6,15.037037037037,5.45,8.12,1,3,1,NA,2,1.084,NA,4,20,3,201.4,117.2,5,NA,NA,2,1,1,2,18,1596,156,0,18,1,1,1,2,6,90,15.037037037037,5.01557864197529
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM3650-51_9",2,9,8,3,"test"," (Operator: lizbethpino, Time: )","GM3650-51","test",NA,NA,NA,NA,NA,4,NA,NA,38.6169342251951,32.8,22.9814814814815,6.02,12.41,1,3,1,NA,2,1.346,NA,5,20,2,167,126.8,5,NA,NA,2,1,1,2,41,2048,254,0,19,1,1,1,2,6,95,22.9814814814815,8.8747435876791
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_LLANERA_1",1,1,1,4,"check"," (Operator: lizbethpino, Time: )","COL1438_is_Llenerita","check_released",NA,NA,NA,NA,NA,3,NA,NA,37.6465551839465,99,26.962962962963,17.56,14.56,1,5,1,NA,4,1.53166666666667,NA,16,20,1,272.5,183.666666666667,6,NA,NA,3,1,3,2,52,2263.33333333333,270,0,20,2,3,1,1,6,100,26.962962962963,10.1506267310789
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_LLANERA_12",2,12,5,3,"check"," (Operator: lizbethpino, Time: )","COL1438_is_Llenerita","check_released",NA,NA,NA,NA,NA,1,NA,NA,19.2534615384615,249.5,3.92592592592593,3.78,2.12,1,3,1,NA,0,0,NA,12,20,3,322,255,2,NA,NA,3,1,3,2,8,1060,20,2,13,2,3,1,1,6,65,3.92592592592593,0.755876638176638
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_LLANERA_22",3,22,6,2,"check"," (Operator: lizbethpino, Time: )","COL1438_is_Llenerita","check_released",NA,NA,NA,NA,NA,3,NA,NA,29.7684638109305,71.5,15.1851851851852,11.44,8.2,1,5,1,NA,0,0.235,NA,10,20,2,282.5,196.333333333333,6,NA,NA,3,1,3,2,33,1225,96.6666666666667,1,19,2,3,1,1,6,95,15.1851851851852,4.52039635647464
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_LLANERA_27",4,27,6,1,"check"," (Operator: lizbethpino, Time: )","COL1438_is_Llenerita","check_released",NA,NA,NA,NA,NA,3,NA,NA,26.3734862385321,106,44.2592592592593,19.83,23.9,1,5,1,NA,5,2.28833333333333,NA,11,20,2,292.666666666667,298.166666666667,6,NA,NA,3,1,3,2,65,2706.66666666667,163.333333333333,0,20,2,3,1,1,6,100,44.2592592592593,11.672709650017
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3106-14_14",2,14,3,3,"test"," (Operator: lizbethpino, Time: )","SM3106-14","test",NA,NA,NA,NA,NA,4,NA,NA,28.7371767810026,59.2,32.537037037037,9.85,17.57,1,3,1,NA,3,1.816,NA,7,20,2,189,114.8,5,NA,NA,2,1,2,2,50,2454,180,0,18,2,2,1,1,6,90,32.537037037037,9.35022585263361
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3106-14_2",1,2,2,4,"test"," (Operator: lizbethpino, Time: )","SM3106-14","test",NA,NA,NA,NA,NA,4,NA,NA,31.6729566694987,63,24.2407407407407,4.94,13.09,1,3,1,NA,1,0.575,NA,8,20,3,163.333333333333,90.1666666666667,6,NA,NA,2,1,2,2,51,2153.33333333333,191.666666666667,0,19,2,2,1,1,6,95,24.2407407407407,7.67775931118032
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3106-14_20",3,20,4,2,"test"," (Operator: lizbethpino, Time: )","SM3106-14","test",NA,NA,NA,NA,NA,4,NA,NA,30.9165464632455,54.6666666666667,44.8703703703704,9.17,24.23,1,3,1,NA,2,1.46833333333333,NA,7,20,2,202.666666666667,154.5,6,NA,NA,2,1,2,2,68,2626.66666666667,223.333333333333,0,20,2,2,1,1,6,100,44.8703703703704,13.8723689037859
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3106-14_30",4,30,3,1,"test"," (Operator: lizbethpino, Time: )","SM3106-14","test",NA,NA,NA,NA,NA,4,NA,NA,30.838015936255,79.3333333333333,40.3888888888889,9.61,21.81,1,3,1,NA,3,1.39333333333333,NA,6,20,3,225.166666666667,206,6,NA,NA,2,1,2,2,68,2285,193.333333333333,3,20,2,2,1,1,6,100,40.3888888888889,12.4551319920319
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3553-27_10",2,10,7,3,"test"," (Operator: lizbethpino, Time: )","SM3553-27","test",NA,NA,NA,NA,NA,3,NA,NA,40.87059437751,102.333333333333,26.6481481481481,9.23,14.39,1,4,1,NA,3,1.53166666666667,NA,6,20,2,198.166666666667,133.166666666667,6,NA,NA,3,1,2,1,45,2398.33333333333,323.333333333333,0,20,1,1,1,1,6,100,26.6481481481481,10.8912565387476
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3553-27_18",3,18,2,2,"test"," (Operator: lizbethpino, Time: )","SM3553-27","test",NA,NA,NA,NA,NA,2,NA,NA,28.6094776748104,181.666666666667,34.1296296296296,10.04,18.43,1,4,2,NA,3,1.72833333333333,NA,10,20,2,250.333333333333,172.166666666667,6,NA,NA,3,1,2,1,41,2133.33333333333,155,0,19,1,1,1,1,6,95,34.1296296296296,9.76430876938436
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3553-27_31",4,31,2,1,"test"," (Operator: lizbethpino, Time: )","SM3553-27","test",NA,NA,NA,NA,NA,3,NA,NA,28.6714173228346,46.3333333333333,48.9444444444444,15.64,26.43,1,3,1,NA,5,3.14833333333333,NA,9,20,2,270.333333333333,246.5,6,NA,NA,3,1,2,1,74,2740,200,0,20,1,1,1,1,6,100,48.9444444444444,14.0330659230096
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3553-27_8",1,8,8,4,"test"," (Operator: lizbethpino, Time: )","SM3553-27","test",NA,NA,NA,NA,NA,1,NA,NA,31.1128166666666,181.166666666667,32.037037037037,8.68,17.3,1,4,1,NA,2,1.53833333333333,NA,8,20,2,244.833333333333,217.5,6,NA,NA,3,1,2,1,37,2188.33333333333,188.333333333333,0,19,1,1,1,1,6,95,32.037037037037,9.9676245987654
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3677-74_13",2,13,4,3,"test"," (Operator: lizbethpino, Time: )","SM3677-74","test",NA,NA,NA,NA,NA,3,NA,NA,25.9721826809015,88.5,16.5740740740741,5.87,8.95,1,3,1,NA,0,0.141666666666667,NA,5,20,3,212.333333333333,122.666666666667,6,NA,NA,3,1,2,1,46,1491.66666666667,86.6666666666667,0,20,2,1,1,5,6,100,16.5740740740741,4.30464879618646
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3677-74_21",3,21,5,2,"test"," (Operator: lizbethpino, Time: )","SM3677-74","test",NA,NA,NA,NA,NA,3,NA,NA,28.7267713976164,109,18.4444444444444,6.95,9.96,1,4,1,NA,0,0.0783333333333333,NA,7,20,2,269.166666666667,166,6,NA,NA,3,1,2,1,49,1660,121.666666666667,2,17,2,1,1,5,6,85,18.4444444444444,5.2984933911159
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3677-74_29",4,29,4,1,"test"," (Operator: lizbethpino, Time: )","SM3677-74","test",NA,NA,NA,NA,NA,4,NA,NA,26.9496041470311,77.25,23.5,8.63,12.69,1,4,1,NA,4,2.1175,NA,7,20,2,286.5,235.25,4,NA,NA,3,1,2,1,39,2832.5,180,0,20,2,1,1,5,6,100,23.5,6.33315697455231
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_SM3677-74_6",1,6,6,4,"test"," (Operator: lizbethpino, Time: )","SM3677-74","test",NA,NA,NA,NA,NA,4,NA,NA,35.7702247191011,143,6.46296296296296,1.65,3.49,1,5,1,NA,3,1.86,NA,6,20,1,324,98,1,NA,NA,3,1,2,1,8,3000,330,0,11,2,1,1,5,6,55,6.46296296296296,2.31181637536413
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_CG1141-1_13",1,13,1,13,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",1,1,1,1,1,NA,1,1,32.3825547445255,46,33.5740740740741,NA,18.13,NA,4,1,NA,5,3.32,NA,23,20,4,129,NA,6,1,1,3,NA,NA,NA,31,3.02,0.28,NA,11,NA,NA,1,1,6,55,33.5740740740741,10.8721429170046
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_CM9456-12_7",1,7,1,7,"test"," (Operator: lizbethpino, Time: )","CM9456-12","test",1,1,1,1,1,NA,1,1,33.8978823529412,53,23.0925925925926,NA,12.47,NA,4,1,NA,2,1.31,NA,50,20,4,166,NA,6,1,1,3,NA,NA,NA,26,1.89,0.19,NA,17,NA,NA,1,1,6,85,23.0925925925926,7.82789986928105
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_CMB8527_5",1,5,1,5,"test"," (Operator: lizbethpino, Time: )","CMB8527","test",1,1,1,1,1,NA,1,1,29.2176712328767,51,17.6296296296296,NA,9.52,NA,4,1,NA,1,0.7,NA,58,20,4,174,NA,6,1,1,3,NA,NA,NA,35,1.58,0.12,NA,18,NA,NA,1,1,6,90,17.6296296296296,5.150967224759
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_COL2215_11",1,11,1,11,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",1,1,1,1,1,NA,1,1,32.5384126984127,104,42.7592592592593,NA,23.09,NA,4,1,NA,3,3.07,NA,56,20,4,214,NA,6,1,1,3,NA,NA,NA,29,2.78,0.26,NA,16,NA,NA,1,1,6,80,42.7592592592593,13.913184244562
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_Eco-Blanca_10",1,10,1,10,"check"," (Operator: lizbethpino, Time: )","Eco-Blanca","test",1,1,1,1,1,NA,1,1,27.3550704225352,118,4.24074074074074,NA,2.29,NA,3,1,NA,0,0,NA,29,20,3,179,NA,3,1,1,3,NA,NA,NA,8,0.76,0.05,NA,5,NA,NA,1,1,6,25,4.24074074074074,1.16005761606677
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_GM1692-56_6",1,6,1,6,"test"," (Operator: lizbethpino, Time: )","GM1692-56","test",1,1,1,1,1,NA,1,1,35.7633590733591,77,50.3333333333333,NA,27.18,NA,5,1,NA,8,7.13,NA,90,20,5,230,NA,6,1,1,3,NA,NA,NA,44,2.91,0.32,NA,14,NA,NA,1,1,6,70,50.3333333333333,18.0008907335907
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_GM214-62_8",1,8,1,8,"test"," (Operator: lizbethpino, Time: )","GM214-62","test",1,1,1,1,1,NA,1,1,38.3903787878788,94,57.3703703703704,NA,30.98,NA,4,1,NA,1,0.81,NA,88,20,4,255,NA,6,1,1,3,NA,NA,NA,45,3.01,0.37,NA,17,NA,NA,1,1,6,85,57.3703703703704,22.0247024971942
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_GM3790-2_4",1,4,1,4,"test"," (Operator: lizbethpino, Time: )","GM3790-2","test",1,1,1,1,1,NA,1,1,32.6332075471698,86,30.6296296296296,NA,16.54,NA,4,1,NA,1,0.96,NA,83,20,4,195,NA,6,1,1,3,NA,NA,NA,30,2.34,0.22,NA,18,NA,NA,1,2,6,90,30.6296296296296,9.99543060796645
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_SM1127-8_9",1,9,1,9,"test"," (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",1,1,1,1,1,NA,1,1,33.2533846153846,107,24.3148148148148,NA,13.13,NA,4,1,NA,0,0,NA,86,20,4,210,NA,6,1,1,3,NA,NA,NA,39,2.16,0.21,NA,19,NA,NA,1,1,6,95,24.3148148148148,8.08549888888888
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_SM3106-14_3",1,3,1,3,"test"," (Operator: lizbethpino, Time: )","SM3106-14","test",1,1,1,1,1,NA,1,1,34.445720164609,113,41.8333333333333,NA,22.59,NA,4,1,NA,0,0,NA,88,20,4,217,NA,6,1,1,2,NA,NA,NA,54,2.71,0.28,NA,16,NA,NA,1,1,6,80,41.8333333333333,14.4097929355281
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_SM3553-27_1",1,1,1,1,"test"," (Operator: lizbethpino, Time: )","SM3553-27","test",1,1,1,1,1,NA,1,1,37.065968992248,87,42.4259259259259,NA,22.91,NA,4,1,NA,4,2.95,NA,73,20,4,211,NA,6,1,1,3,NA,NA,NA,45,2.92,0.34,NA,20,NA,NA,1,1,6,100,42.4259259259259,15.7255805483778
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep1_SM3562-32_2",1,2,1,2,"test"," (Operator: lizbethpino, Time: )","SM3562-32","test",1,1,1,1,1,NA,1,1,32.61,106,23.7407407407407,NA,12.82,NA,4,1,NA,0,0,NA,43,20,4,201,NA,6,1,1,3,NA,NA,NA,27,2.13,0.2,NA,18,NA,NA,1,1,6,90,23.7407407407407,7.74185555555554
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco","Caiseli,Caiselli,CAISELLI","201781CQPRC_tuma_rep1_SMB2446-2_12",1,12,1,12,"check"," (Operator: lizbethpino, Time: )","SMB2446-2_is_Caiseli","check_released",1,1,1,1,1,NA,1,1,35.1632934131736,32,17.3333333333333,NA,9.36,NA,4,1,NA,0,0,NA,31,20,4,150,NA,6,1,1,3,NA,NA,NA,21,1.87,0.2,NA,20,NA,NA,1,1,6,100,17.3333333333333,6.09497085828341
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep2_CG1141-1_23",2,23,2,4,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",1,1,1,1,1,NA,1,1,25.5194117647059,70,16.1296296296296,NA,8.71,NA,4,1,NA,0,0,NA,59,20,4,167,NA,6,1,1,3,NA,NA,NA,24,1.44,0.08,NA,15,NA,NA,1,1,6,75,16.1296296296296,4.11618660130719
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep2_CM9456-12_18",2,18,2,9,"test"," (Operator: lizbethpino, Time: )","CM9456-12","test",1,1,1,1,1,NA,1,1,32.4040465116279,52,30.4259259259259,NA,16.43,NA,4,1,NA,3,2.06,NA,42,20,4,190,NA,6,1,1,3,NA,NA,NA,39,2.37,0.22,NA,17,NA,NA,1,1,6,85,30.4259259259259,9.85923118863048
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep2_CMB8527_24",2,24,2,3,"test"," (Operator: lizbethpino, Time: )","CMB8527","test",1,1,1,1,1,NA,1,1,34.1409359605911,61,27.0925925925926,NA,14.63,NA,3,1,NA,0,0,NA,31,20,3,164,NA,6,1,1,3,NA,NA,NA,45,2.26,0.23,NA,19,NA,NA,1,1,6,95,27.0925925925926,9.24966468710089
2017,"201781CQPRC_tuma","201781CQPRC_tuma",4,4.5,"2017-July-21","2018-May-09","Tumaco",NA,"201781CQPRC_tuma_rep2_COL2215_20",2,20,2,7,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",1,1,1,1,1,NA,1,1,32.9206832298136,52,13.2407407407407,NA,7.15,NA,4,1,NA,0,0,NA,23,20,4,162,NA,4,1,1,3,NA,NA,NA,14,1.78,0.17,NA,20,NA,NA,1,1,6,100,13.2407407407407,4.35894231654012
